Latitude,Longitude,LocationTime,ShipmentNumber
53.13833,-1.327364,28/01/2021 09:07,SEZHUK-210127-000836
53.097362,-1.314799,28/01/2021 09:07,SEZHUK-210127-000836
53.081566,-1.296553,28/01/2021 09:12,SEZHUK-210127-000836
53.065203,-1.270203,28/01/2021 09:12,SEZHUK-210127-000836
53.040516,-1.253806,28/01/2021 09:17,SEZHUK-210127-000836
53.015102,-1.243105,28/01/2021 09:17,SEZHUK-210127-000836
52.9905,-1.233735,28/01/2021 09:27,SEZHUK-210127-000836
52.945096,-1.279453,28/01/2021 09:32,SEZHUK-210127-000836
52.92212,-1.299804,28/01/2021 09:37,SEZHUK-210127-000836
52.871173,-1.307405,28/01/2021 09:42,SEZHUK-210127-000836
52.843494,-1.295448,28/01/2021 09:42,SEZHUK-210127-000836
52.801256,-1.332835,28/01/2021 09:53,SEZHUK-210127-000836
52.798743,-1.375225,28/01/2021 09:58,SEZHUK-210127-000836
52.763834,-1.43156,28/01/2021 09:58,SEZHUK-210127-000836
52.74275,-1.455214,28/01/2021 10:39,SEZHUK-210127-000836
52.707791,-1.521851,28/01/2021 10:44,SEZHUK-210127-000836
52.688259,-1.548502,28/01/2021 10:44,SEZHUK-210127-000836
52.644413,-1.59679,28/01/2021 10:54,SEZHUK-210127-000836
52.624373,-1.625524,28/01/2021 11:00,SEZHUK-210127-000836
52.600502,-1.644938,28/01/2021 11:00,SEZHUK-210127-000836
52.581032,-1.673374,28/01/2021 11:15,SEZHUK-210127-000836
52.561323,-1.703963,28/01/2021 11:15,SEZHUK-210127-000836
52.538394,-1.726395,28/01/2021 11:21,SEZHUK-210127-000836
52.510935,-1.725582,28/01/2021 11:21,SEZHUK-210127-000836
52.485687,-1.710955,28/01/2021 11:28,SEZHUK-210127-000836
52.447698,-1.708451,28/01/2021 11:28,SEZHUK-210127-000836
52.409676,-1.732353,28/01/2021 11:33,SEZHUK-210127-000836
52.394859,-1.766878,28/01/2021 11:37,SEZHUK-210127-000836
52.369173,-1.794414,28/01/2021 11:37,SEZHUK-210127-000836
52.351599,-1.850372,28/01/2021 11:47,SEZHUK-210127-000836
52.354501,-1.892774,28/01/2021 11:47,SEZHUK-210127-000836
52.359816,-1.934677,28/01/2021 11:54,SEZHUK-210127-000836
52.356353,-1.97581,28/01/2021 12:04,SEZHUK-210127-000836
52.355072,-2.016976,28/01/2021 12:04,SEZHUK-210127-000836
52.332965,-2.084627,28/01/2021 12:09,SEZHUK-210127-000836
52.28199,-2.119092,28/01/2021 12:09,SEZHUK-210127-000836
52.258656,-2.136572,28/01/2021 12:14,SEZHUK-210127-000836
52.208158,-2.160083,28/01/2021 12:29,SEZHUK-210127-000836
52.184161,-2.170858,28/01/2021 12:29,SEZHUK-210127-000836
52.159232,-2.188409,28/01/2021 12:34,SEZHUK-210127-000836
52.106063,-2.191545,29/01/2021 08:14,SEZHUK-210127-000836
52.082607,-2.173752,29/01/2021 08:14,SEZHUK-210127-000836
52.060657,-2.147627,29/01/2021 08:20,SEZHUK-210127-000836
52.046828,-2.138601,29/01/2021 08:20,SEZHUK-210127-000836
52.038225,-2.166524,29/01/2021 08:20,SEZHUK-210127-000836
52.042996,-2.170189,29/01/2021 08:20,SEZHUK-210127-000836
52.043162,-2.170289,29/01/2021 08:33,SEZHUK-210127-000836
52.043238,-2.170476,29/01/2021 08:33,SEZHUK-210127-000836
52.043235,-2.170286,29/01/2021 08:34,SEZHUK-210127-000836
52.043242,-2.170285,29/01/2021 08:34,SEZHUK-210127-000836
52.043071,-2.17032,29/01/2021 08:34,SEZHUK-210127-000836
52.043242,-2.17032,29/01/2021 08:34,SEZHUK-210127-000836
52.04326,-2.170342,29/01/2021 08:35,SEZHUK-210127-000836
52.04324,-2.170324,29/01/2021 08:35,SEZHUK-210127-000836
52.043255,-2.170319,29/01/2021 08:35,SEZHUK-210127-000836
52.043252,-2.170324,29/01/2021 08:35,SEZHUK-210127-000836
52.043255,-2.170328,29/01/2021 08:36,SEZHUK-210127-000836
52.043264,-2.170336,29/01/2021 08:36,SEZHUK-210127-000836
52.043167,-2.17035,29/01/2021 08:36,SEZHUK-210127-000836
52.043284,-2.17012,29/01/2021 08:36,SEZHUK-210127-000836
52.043248,-2.170299,29/01/2021 08:37,SEZHUK-210127-000836
52.043315,-2.170321,29/01/2021 08:37,SEZHUK-210127-000836
52.043307,-2.170339,29/01/2021 08:37,SEZHUK-210127-000836
52.043285,-2.170336,29/01/2021 08:37,SEZHUK-210127-000836
52.043189,-2.170256,29/01/2021 08:37,SEZHUK-210127-000836
52.04322,-2.170261,29/01/2021 08:37,SEZHUK-210127-000836
52.043256,-2.17027,29/01/2021 08:38,SEZHUK-210127-000836
52.043558,-2.169811,29/01/2021 08:38,SEZHUK-210127-000836
52.043379,-2.170436,29/01/2021 08:39,SEZHUK-210127-000836
52.043379,-2.170485,29/01/2021 08:39,SEZHUK-210127-000836
52.043385,-2.170441,29/01/2021 08:39,SEZHUK-210127-000836
52.043315,-2.170315,29/01/2021 08:39,SEZHUK-210127-000836
52.043138,-2.170279,29/01/2021 08:39,SEZHUK-210127-000836
52.04319,-2.170283,29/01/2021 08:39,SEZHUK-210127-000836
52.043194,-2.170287,29/01/2021 08:40,SEZHUK-210127-000836
52.043195,-2.170286,29/01/2021 08:40,SEZHUK-210127-000836
52.043265,-2.17023,29/01/2021 08:40,SEZHUK-210127-000836
52.043295,-2.170245,29/01/2021 08:40,SEZHUK-210127-000836
52.043275,-2.170251,29/01/2021 08:41,SEZHUK-210127-000836
52.043271,-2.170263,29/01/2021 08:41,SEZHUK-210127-000836
52.04328,-2.170245,29/01/2021 08:41,SEZHUK-210127-000836
52.043262,-2.170257,29/01/2021 08:41,SEZHUK-210127-000836
52.043324,-2.170326,29/01/2021 08:42,SEZHUK-210127-000836
52.043319,-2.170406,29/01/2021 08:42,SEZHUK-210127-000836
52.043304,-2.170375,29/01/2021 08:42,SEZHUK-210127-000836
52.043305,-2.170378,29/01/2021 08:42,SEZHUK-210127-000836
52.043311,-2.170383,29/01/2021 08:43,SEZHUK-210127-000836
52.043586,-2.170607,29/01/2021 08:43,SEZHUK-210127-000836
52.043366,-2.17048,29/01/2021 08:43,SEZHUK-210127-000836
52.043304,-2.170435,29/01/2021 08:43,SEZHUK-210127-000836
52.043265,-2.170384,29/01/2021 08:44,SEZHUK-210127-000836
52.043125,-2.170389,29/01/2021 08:44,SEZHUK-210127-000836
52.043197,-2.170346,29/01/2021 08:44,SEZHUK-210127-000836
52.043229,-2.170348,29/01/2021 08:44,SEZHUK-210127-000836
52.043238,-2.170332,29/01/2021 08:45,SEZHUK-210127-000836
52.043221,-2.170315,29/01/2021 08:45,SEZHUK-210127-000836
52.043215,-2.170304,29/01/2021 08:45,SEZHUK-210127-000836
52.043201,-2.170294,29/01/2021 08:45,SEZHUK-210127-000836
52.043207,-2.17029,29/01/2021 08:46,SEZHUK-210127-000836
52.043207,-2.170295,29/01/2021 08:46,SEZHUK-210127-000836
52.043201,-2.170237,29/01/2021 08:46,SEZHUK-210127-000836
52.043213,-2.170281,29/01/2021 08:46,SEZHUK-210127-000836
52.043208,-2.170305,29/01/2021 08:47,SEZHUK-210127-000836
52.043219,-2.170297,29/01/2021 08:47,SEZHUK-210127-000836
52.043225,-2.170284,29/01/2021 08:47,SEZHUK-210127-000836
52.043223,-2.170276,29/01/2021 08:47,SEZHUK-210127-000836
52.043217,-2.170279,29/01/2021 08:47,SEZHUK-210127-000836
52.043212,-2.170274,29/01/2021 08:47,SEZHUK-210127-000836
52.043215,-2.170278,29/01/2021 08:48,SEZHUK-210127-000836
52.043224,-2.170278,29/01/2021 08:48,SEZHUK-210127-000836
52.043228,-2.170277,29/01/2021 08:48,SEZHUK-210127-000836
52.043231,-2.170281,29/01/2021 08:48,SEZHUK-210127-000836
52.043233,-2.170282,29/01/2021 08:49,SEZHUK-210127-000836
52.043231,-2.170285,29/01/2021 08:49,SEZHUK-210127-000836
52.04323,-2.170288,29/01/2021 08:49,SEZHUK-210127-000836
52.043412,-2.170307,29/01/2021 08:49,SEZHUK-210127-000836
52.043255,-2.170271,29/01/2021 08:50,SEZHUK-210127-000836
52.043219,-2.170386,29/01/2021 08:50,SEZHUK-210127-000836
52.043197,-2.170349,29/01/2021 08:50,SEZHUK-210127-000836
52.043197,-2.17035,29/01/2021 08:50,SEZHUK-210127-000836
52.043195,-2.170359,29/01/2021 08:51,SEZHUK-210127-000836
52.043205,-2.170345,29/01/2021 08:51,SEZHUK-210127-000836
52.043093,-2.170583,29/01/2021 08:51,SEZHUK-210127-000836
52.04326,-2.170326,29/01/2021 08:51,SEZHUK-210127-000836
52.043238,-2.17033,29/01/2021 08:52,SEZHUK-210127-000836
52.043234,-2.170337,29/01/2021 08:52,SEZHUK-210127-000836
52.043238,-2.17034,29/01/2021 08:52,SEZHUK-210127-000836
52.043233,-2.170341,29/01/2021 08:52,SEZHUK-210127-000836
52.043241,-2.170337,29/01/2021 08:53,SEZHUK-210127-000836
52.043232,-2.170333,29/01/2021 08:53,SEZHUK-210127-000836
52.04323,-2.170326,29/01/2021 08:53,SEZHUK-210127-000836
52.043135,-2.170124,29/01/2021 08:53,SEZHUK-210127-000836
52.043346,-2.170634,29/01/2021 08:54,SEZHUK-210127-000836
52.043227,-2.170254,29/01/2021 08:54,SEZHUK-210127-000836
52.043239,-2.17026,29/01/2021 08:54,SEZHUK-210127-000836
52.043205,-2.170248,29/01/2021 08:54,SEZHUK-210127-000836
52.043185,-2.170278,29/01/2021 08:55,SEZHUK-210127-000836
52.043191,-2.170289,29/01/2021 08:55,SEZHUK-210127-000836
52.043192,-2.170297,29/01/2021 08:55,SEZHUK-210127-000836
52.043188,-2.170298,29/01/2021 08:55,SEZHUK-210127-000836
52.043191,-2.170308,29/01/2021 08:56,SEZHUK-210127-000836
52.043192,-2.170311,29/01/2021 08:56,SEZHUK-210127-000836
52.043195,-2.170317,29/01/2021 08:56,SEZHUK-210127-000836
52.043214,-2.170331,29/01/2021 08:56,SEZHUK-210127-000836
52.043128,-2.170171,29/01/2021 08:57,SEZHUK-210127-000836
52.043209,-2.169783,29/01/2021 08:57,SEZHUK-210127-000836
52.043202,-2.170388,29/01/2021 08:57,SEZHUK-210127-000836
52.043199,-2.170237,29/01/2021 08:57,SEZHUK-210127-000836
52.043227,-2.17024,29/01/2021 08:57,SEZHUK-210127-000836
52.043227,-2.170215,29/01/2021 08:57,SEZHUK-210127-000836
52.04323,-2.170223,29/01/2021 08:58,SEZHUK-210127-000836
52.043239,-2.170453,29/01/2021 08:58,SEZHUK-210127-000836
52.043207,-2.170268,29/01/2021 08:58,SEZHUK-210127-000836
52.043245,-2.170252,29/01/2021 08:58,SEZHUK-210127-000836
52.043237,-2.170258,29/01/2021 08:59,SEZHUK-210127-000836
52.043219,-2.170255,29/01/2021 08:59,SEZHUK-210127-000836
52.043232,-2.17024,29/01/2021 08:59,SEZHUK-210127-000836
52.043231,-2.170237,29/01/2021 08:59,SEZHUK-210127-000836
52.043237,-2.170239,29/01/2021 09:00,SEZHUK-210127-000836
52.043234,-2.170249,29/01/2021 09:00,SEZHUK-210127-000836
52.04323,-2.170257,29/01/2021 09:00,SEZHUK-210127-000836
52.043226,-2.170274,29/01/2021 09:00,SEZHUK-210127-000836
52.043225,-2.170281,29/01/2021 09:01,SEZHUK-210127-000836
52.043096,-2.170233,29/01/2021 09:01,SEZHUK-210127-000836
52.042977,-2.170312,29/01/2021 09:01,SEZHUK-210127-000836
52.043085,-2.170226,29/01/2021 09:01,SEZHUK-210127-000836
52.043308,-2.17018,29/01/2021 09:02,SEZHUK-210127-000836
52.043266,-2.170248,29/01/2021 09:02,SEZHUK-210127-000836
52.043232,-2.170287,29/01/2021 09:02,SEZHUK-210127-000836
52.042977,-2.170421,29/01/2021 09:02,SEZHUK-210127-000836
52.043228,-2.170325,29/01/2021 09:03,SEZHUK-210127-000836
52.043215,-2.17031,29/01/2021 09:03,SEZHUK-210127-000836
52.04321,-2.170277,29/01/2021 09:03,SEZHUK-210127-000836
52.043205,-2.170269,29/01/2021 09:03,SEZHUK-210127-000836
52.043195,-2.170265,29/01/2021 09:03,SEZHUK-210127-000836
52.043198,-2.17027,29/01/2021 09:03,SEZHUK-210127-000836
52.043201,-2.170265,29/01/2021 09:04,SEZHUK-210127-000836
52.043193,-2.170263,29/01/2021 09:04,SEZHUK-210127-000836
52.043198,-2.170265,29/01/2021 09:04,SEZHUK-210127-000836
52.043454,-2.170585,29/01/2021 09:04,SEZHUK-210127-000836
52.042968,-2.17019,29/01/2021 09:05,SEZHUK-210127-000836
52.043272,-2.170214,29/01/2021 09:05,SEZHUK-210127-000836
52.04324,-2.170362,29/01/2021 09:05,SEZHUK-210127-000836
52.043217,-2.170337,29/01/2021 09:05,SEZHUK-210127-000836
52.043216,-2.170333,29/01/2021 09:06,SEZHUK-210127-000836
52.043213,-2.170338,29/01/2021 09:06,SEZHUK-210127-000836
52.043258,-2.170277,29/01/2021 09:06,SEZHUK-210127-000836
52.043231,-2.170292,29/01/2021 09:06,SEZHUK-210127-000836
52.043214,-2.170285,29/01/2021 09:06,SEZHUK-210127-000836
52.101169,-2.187636,29/01/2021 09:06,SEZHUK-210127-000836
52.043209,-2.170295,29/01/2021 09:07,SEZHUK-210127-000836
52.043215,-2.170307,29/01/2021 09:07,SEZHUK-210127-000836
52.112388,-2.308056,29/01/2021 09:07,SEZHUK-210127-000836
52.04322,-2.170314,29/01/2021 09:07,SEZHUK-210127-000836
52.043213,-2.170314,29/01/2021 09:08,SEZHUK-210127-000836
52.043249,-2.170277,29/01/2021 09:08,SEZHUK-210127-000836
52.043226,-2.1704,29/01/2021 09:08,SEZHUK-210127-000836
52.043585,-2.170083,29/01/2021 09:08,SEZHUK-210127-000836
52.043107,-2.170511,29/01/2021 09:08,SEZHUK-210127-000836
52.0432,-2.170449,29/01/2021 09:08,SEZHUK-210127-000836
52.112604,-2.307202,29/01/2021 09:09,SEZHUK-210127-000836
52.043231,-2.170355,29/01/2021 09:09,SEZHUK-210127-000836
52.035925,-2.165188,29/01/2021 09:09,SEZHUK-210127-000836
52.044204,-2.14527,29/01/2021 09:09,SEZHUK-210127-000836
52.037293,-2.129295,29/01/2021 09:09,SEZHUK-210127-000836
51.995333,-2.123597,29/01/2021 09:09,SEZHUK-210127-000836
51.967585,-2.128263,29/01/2021 09:10,SEZHUK-210127-000836
51.91945,-2.147797,29/01/2021 09:10,SEZHUK-210127-000836
51.888495,-2.150969,29/01/2021 09:10,SEZHUK-210127-000836
51.863906,-2.163924,29/01/2021 09:10,SEZHUK-210127-000836
51.839693,-2.194504,29/01/2021 09:11,SEZHUK-210127-000836
51.820448,-2.223829,29/01/2021 09:11,SEZHUK-210127-000836
51.80497,-2.260886,29/01/2021 09:11,SEZHUK-210127-000836
51.768603,-2.312942,29/01/2021 09:11,SEZHUK-210127-000836
51.723546,-2.35433,29/01/2021 09:12,SEZHUK-210127-000836
51.713003,-2.374934,29/01/2021 09:12,SEZHUK-210127-000836
51.6719,-2.406299,29/01/2021 09:12,SEZHUK-210127-000836
51.656833,-2.425488,29/01/2021 09:12,SEZHUK-210127-000836
51.656542,-2.426347,29/01/2021 09:12,SEZHUK-210127-000836
51.655392,-2.431685,29/01/2021 09:12,SEZHUK-210127-000836
51.634217,-2.45497,29/01/2021 09:13,SEZHUK-210127-000836
51.591932,-2.491096,29/01/2021 09:13,SEZHUK-210127-000836
51.572917,-2.524129,29/01/2021 09:13,SEZHUK-210127-000836
51.540101,-2.542129,29/01/2021 09:13,SEZHUK-210127-000836
51.532942,-2.53501,29/01/2021 09:14,SEZHUK-210127-000836
51.519566,-2.522403,29/01/2021 09:14,SEZHUK-210127-000836
51.503226,-2.514819,29/01/2021 09:14,SEZHUK-210127-000836
51.505379,-2.492263,29/01/2021 09:14,SEZHUK-210127-000836
51.502503,-2.478575,29/01/2021 09:15,SEZHUK-210127-000836
51.508503,-2.468224,29/01/2021 09:15,SEZHUK-210127-000836
51.507991,-2.468581,29/01/2021 09:15,SEZHUK-210127-000836
51.50793,-2.468385,29/01/2021 09:15,SEZHUK-210127-000836
51.507654,-2.469431,29/01/2021 09:16,SEZHUK-210127-000836
51.50831,-2.468221,29/01/2021 09:16,SEZHUK-210127-000836
51.507648,-2.469485,29/01/2021 09:16,SEZHUK-210127-000836
51.508363,-2.468323,29/01/2021 09:16,SEZHUK-210127-000836
51.507666,-2.46943,29/01/2021 09:17,SEZHUK-210127-000836
51.507976,-2.468353,29/01/2021 09:17,SEZHUK-210127-000836
51.508309,-2.468226,29/01/2021 09:17,SEZHUK-210127-000836
51.508164,-2.468521,29/01/2021 09:17,SEZHUK-210127-000836
51.507796,-2.469336,29/01/2021 09:17,SEZHUK-210127-000836
51.50804,-2.468596,29/01/2021 09:17,SEZHUK-210127-000836
51.508459,-2.468436,29/01/2021 09:18,SEZHUK-210127-000836
51.501349,-2.478702,29/01/2021 09:18,SEZHUK-210127-000836
51.502502,-2.485195,29/01/2021 09:18,SEZHUK-210127-000836
51.504064,-2.499752,29/01/2021 09:18,SEZHUK-210127-000836
51.504822,-2.525652,29/01/2021 09:19,SEZHUK-210127-000836
51.550198,-2.552096,29/01/2021 09:19,SEZHUK-210127-000836
51.570332,-2.527442,29/01/2021 09:19,SEZHUK-210127-000836
51.615212,-2.463914,29/01/2021 09:19,SEZHUK-210127-000836
51.638582,-2.449969,29/01/2021 09:20,SEZHUK-210127-000836
51.65613,-2.433392,29/01/2021 09:20,SEZHUK-210127-000836
51.656859,-2.431723,29/01/2021 09:20,SEZHUK-210127-000836
51.657117,-2.430934,29/01/2021 09:20,SEZHUK-210127-000836
51.651439,-2.437637,29/01/2021 09:21,SEZHUK-210127-000836
51.694226,-2.394743,29/01/2021 09:21,SEZHUK-210127-000836
51.716472,-2.371173,29/01/2021 09:21,SEZHUK-210127-000836
51.735962,-2.344084,29/01/2021 09:21,SEZHUK-210127-000836
51.759083,-2.323707,29/01/2021 09:21,SEZHUK-210127-000836
51.80302,-2.289734,29/01/2021 09:21,SEZHUK-210127-000836
51.815172,-2.280019,29/01/2021 09:22,SEZHUK-210127-000836
51.835448,-2.272227,29/01/2021 09:22,SEZHUK-210127-000836
51.845324,-2.268581,29/01/2021 09:23,SEZHUK-210127-000836
51.855803,-2.260996,29/01/2021 09:23,SEZHUK-210127-000836
51.866682,-2.255474,29/01/2021 09:23,SEZHUK-210127-000836
51.873011,-2.277792,29/01/2021 09:23,SEZHUK-210127-000836
51.869113,-2.310483,29/01/2021 09:23,SEZHUK-210127-000836
51.866073,-2.346983,29/01/2021 09:23,SEZHUK-210127-000836
51.866149,-2.376209,29/01/2021 09:24,SEZHUK-210127-000836
51.86559,-2.376918,29/01/2021 09:24,SEZHUK-210127-000836
51.865678,-2.377633,29/01/2021 09:34,SEZHUK-210127-000836
53.017205,-1.324917,29/01/2021 09:34,SEZHUK-210127-000836
53.017132,-1.325045,29/01/2021 09:34,SEZHUK-210127-000836
53.016701,-1.326107,29/01/2021 09:34,SEZHUK-210127-000836
53.016703,-1.326103,29/01/2021 09:35,SEZHUK-210127-000836
53.016935,-1.325188,29/01/2021 09:35,SEZHUK-210127-000836
53.019987,-1.325787,29/01/2021 09:35,SEZHUK-210127-000836
53.02077,-1.327617,29/01/2021 09:35,SEZHUK-210127-000836
52.997965,-1.268485,29/01/2021 09:36,SEZHUK-210127-000836
52.991025,-1.236053,29/01/2021 09:36,SEZHUK-210127-000836
52.99033,-1.226925,29/01/2021 09:36,SEZHUK-210127-000836
52.9899,-1.223728,29/01/2021 09:36,SEZHUK-210127-000836
52.974208,-1.233867,29/01/2021 09:37,SEZHUK-210127-000836
52.963945,-1.239298,29/01/2021 09:37,SEZHUK-210127-000836
52.950952,-1.238037,29/01/2021 09:37,SEZHUK-210127-000836
52.946815,-1.227357,29/01/2021 09:37,SEZHUK-210127-000836
52.938997,-1.216095,29/01/2021 09:37,SEZHUK-210127-000836
